"product_name","ingredient","classes","dose","price_krw","price_as_of","source_note"
"그루시가정10/4밀리그램","Dapagliflozin + Glimepiride","SGLT2_DA+SU","10mg/4mg","677","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그루타존정15밀리그램","Pioglitazone","TZD","15mg","520","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리마린엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","197","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리마린정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리메폴서방정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","290","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리메피드정1밀리그램","Glimepiride","SU","1mg","99","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리메피드정2밀리그램","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리메피드정4밀리그램","Glimepiride","SU","4mg","284","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리멜정2mg","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리자이드정[캄보디아수출명:멜리크론정]","Gliclazide","SU","80mg","82","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리코민서방정500밀리그램","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리코민정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리타존정15밀리그램","Pioglitazone","TZD","15mg","517","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리피드정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리피드정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리핀정","Pioglitazone","TZD","15mg","648","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그리핀정30밀리그램","Pioglitazone","TZD","30mg","940","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"그린페지정","Metformin HCl","MET","0.5g","49","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라디엠정1밀리그람","Glimepiride","SU","1mg","120","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라디엠정2밀리그램","Glimepiride","SU","2mg","184","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라디엠정4밀리그람","Glimepiride","SU","4mg","279","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라비스서방정500밀리그람","Metformin HCl","MET","0.5g","72","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라비스정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라비스정1000밀리그램","Metformin HCl","MET","1g","118","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라포민엠정1/250 밀리그램","Glimepiride + Metformin HCl","SU+MET","1mg/0.25g","132","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라포민엠정1/500밀리그램","Glimepiride + Metformin HCl","SU+MET","1mg/0.5g","168","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글라포민엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","197","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레딘엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","197","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레딘정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레리드정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레린듀오서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레린듀오서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레린정5밀리그램","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레아정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","196","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글레존정","Pioglitazone","TZD","15mg","646","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타글정100밀리그램","Sitagliptin","DPP4","0.1g","453","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타글정25밀리그램","Sitagliptin","DPP4","25mg","200","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타글정50밀리그램","Sitagliptin","DPP4","50mg","301","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타포민서방정100/1000밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","1g/0.1g","572","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타포민서방정50/1000밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","1g/50mg","420","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타포민서방정50/500밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","0.5g/50mg","381","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타포민정50/1000밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","1g/50mg","377","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타포민정50/500밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","0.5g/50mg","371","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로시타포민정50/850밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","0.85g/50mg","371","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로틴듀오정2.5/1000mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","292","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로틴듀오정2.5/500mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.5g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로틴듀오정2.5/850mg","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/0.85g","287","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로틴정5밀리그램","Linagliptin","DPP4","5mg","341","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글로포민서방정","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루듀오정10/100밀리그램","Dapagliflozin + Sitagliptin","SGLT2_DA+DPP4","10mg/0.1g","846","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루리아드정500/2.5밀리그람","Glibenclamide + Metformin HCl","SU+MET","2.5mg/0.5g","72","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루리아드정500/5밀리그람","Glibenclamide + Metformin HCl","SU+MET","5mg/0.5g","88","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루립틴듀오엑스알서방정2.5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","2.5mg/1g","387","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루립틴듀오엑스알서방정5/1000밀리그램","Linagliptin + Metformin HCl","DPP4+MET","5mg/1g","521","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루메트정","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루비엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루세라정500밀리그램","Metformin HCl","MET","0.5g","57","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루스탑정","Pioglitazone","TZD","15mg","539","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루스탑정30밀리그램","Pioglitazone","TZD","30mg","799","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타듀오서방정100/1000밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","1g/0.1g","572","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타듀오서방정50/1000밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","1g/50mg","420","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타듀오서방정50/500밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","0.5g/50mg","381","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타듀오정50/1000밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","1g/50mg","377","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타듀오정50/500밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","0.5g/50mg","371","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타듀오정50/850밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","0.85g/50mg","371","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타정100밀리그램","Sitagliptin","DPP4","0.1g","453","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타정25밀리그램","Sitagliptin","DPP4","25mg","200","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루시타정50밀리그램","Sitagliptin","DPP4","50mg","301","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루엠서방정","Metformin HCl","MET","0.5g","119","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코닐정","Metformin HCl","MET","0.5g","67","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코다운정1000밀리그램","Metformin HCl","MET","1g","118","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코다운정250밀리그램","Metformin HCl","MET","0.25g","49","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코다운정500밀리그램","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코바이정100밀리그람","Acarbose","AGI","0.1g","133","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코바이정50밀리그람","Acarbose","AGI","50mg","88","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코반스정500/2.5밀리그램","Glibenclamide + Metformin HCl","SU+MET","2.5mg/0.5g","72","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코반스정500/5밀리그램","Glibenclamide + Metformin HCl","SU+MET","5mg/0.5g","88","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코젠정500밀리그램","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코파지엑스알1000밀리그램서방정","Metformin HCl","MET","1g","222","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코파지엑스알서방정","Metformin HCl","MET","0.5g","119","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코파지정1000밀리그램","Metformin HCl","MET","1g","110","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코파지정250밀리그램","Metformin HCl","MET","0.25g","49","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코파지정500밀리그램","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코프리서방정1000밀리그램","Metformin HCl","MET","1g","222","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코프리서방정500밀리그램","Metformin HCl","MET","0.5g","86","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루코프리서방정750밀리그램","Metformin HCl","MET","0.75g","113","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루타존정","Pioglitazone","TZD","15mg","535","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루테니어정500mg","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파민서방정500밀리그램","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파엑스알서방정1000밀리그램","Metformin HCl","MET","1g","222","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파엑스알서방정500밀리그램","Metformin HCl","MET","0.5g","61","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파엑스알서방정850밀리그램","Metformin HCl","MET","0.85g","204","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파정1,000㎎","Metformin HCl","MET","1g","118","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파정250mg","Metformin HCl","MET","0.25g","49","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파정500mg","Metformin HCl","MET","0.5g","70","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파정850mg","Metformin HCl","MET","0.85g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루파콤비정500/80mg","Gliclazide + Metformin HCl","SU+MET","80mg/0.5g","121","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루패스트정10밀리그램","Mitiglinide","MEG","10mg","278","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루펜정2mg","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루포민서방정500mg","Metformin HCl","MET","0.5g","101","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루폴민정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루피드정","Glimepiride","SU","2mg","184","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글루피오정15밀리그램","Pioglitazone","TZD","15mg","551","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리다정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리디아정15밀리그램","Pioglitazone","TZD","15mg","551","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리렙서방정","Metformin HCl","MET","0.5g","90","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리로우싯정10/100밀리그램","Dapagliflozin + Sitagliptin","SGLT2_DA+DPP4","10mg/0.1g","846","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리마릴엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","197","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리마릴정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리매핀엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","158","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리매핀정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리맥스정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메드엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","149","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메드정2밀리그램","Glimepiride","SU","2mg","176","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메디정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메론정","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메릴엠정","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메릴정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메엠정1/250밀리그램","Glimepiride + Metformin HCl","SU+MET","1mg/0.25g","112","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","167","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메윈정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메자큐정50/850밀리그램","Metformin HCl + Sitagliptin","MET+DPP4","0.85g/50mg","371","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메정4밀리그램","Glimepiride","SU","4mg","284","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메츠정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메틴정","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메프정2밀리그램","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메프정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메피드정2mg","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메피릴정2mg","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메피릴정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메피젠정2밀리그램","Glimepiride","SU","2mg","157","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리메피젠정4밀리그램","Glimepiride","SU","4mg","241","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리멜엠정1/250밀리그램","Glimepiride + Metformin HCl","SU+MET","1mg/0.25g","106","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리멜엠정2/500밀리그램","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","165","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리멜정1mg","Glimepiride","SU","1mg","105","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리멜정2mg","Glimepiride","SU","2mg","178","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리멜정3mg","Glimepiride","SU","3mg","220","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리멜정4mg","Glimepiride","SU","4mg","274","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리멥정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리미드엠정","Glimepiride + Metformin HCl","SU+MET","2mg/0.5g","197","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리미드정2mg","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
"글리민정","Glimepiride","SU","2mg","185","2026-05-01","HIRA reimbursed drug list (effective 2026-05-01), MFDS class 396; supported oral classes only"
